,Airline,Source,Destination,Total_Stops,prediction
8086,4.0,3.0,0.0,1,756.5070672745375
8087,1.0,2.0,1.0,2,1297.4240258036184
8088,4.0,4.0,3.0,0,170.71098805266138
8089,6.0,2.0,1.0,1,738.405432784095
8090,3.0,1.0,4.0,0,164.36467149798128
8091,4.0,4.0,3.0,0,170.71098805266138
8092,10.0,0.0,2.0,0,171.66622187205425
8093,3.0,3.0,0.0,1,759.5093056945668
8094,10.0,1.0,4.0,0,143.3490025577756
8095,4.0,3.0,0.0,2,1300.5144681939141
8096,3.0,3.0,0.0,0,215.50190477519018
8097,4.0,2.0,1.0,1,744.4099096241538
8098,6.0,2.0,1.0,1,738.405432784095
8099,1.0,2.0,1.0,2,1297.4240258036184
8100,4.0,2.0,1.0,2,1288.4173105435307
8101,3.0,4.0,3.0,0,173.71322647269076
8102,8.0,1.0,4.0,0,149.35347939783438
8103,6.0,2.0,1.0,1,738.405432784095
8104,6.0,2.0,1.0,1,738.405432784095
8105,4.0,2.0,1.0,2,1288.4173105435307
8106,10.0,0.0,2.0,0,171.66622187205425
8107,4.0,2.0,1.0,1,744.4099096241538
8108,4.0,2.0,1.0,2,1288.4173105435307
8109,6.0,2.0,1.0,1,738.405432784095
8110,4.0,4.0,3.0,0,170.71098805266138
8111,4.0,2.0,1.0,1,744.4099096241538
8112,1.0,2.0,1.0,2,1297.4240258036184
8113,3.0,1.0,4.0,0,164.36467149798128
8114,6.0,2.0,1.0,1,738.405432784095
8115,6.0,2.0,1.0,1,738.405432784095
8116,3.0,4.0,3.0,0,173.71322647269076
8117,3.0,1.0,4.0,0,164.36467149798128
8118,3.0,0.0,5.0,0,152.2675138475976
8119,3.0,2.0,1.0,1,747.4121480441831
8120,3.0,2.0,1.0,1,747.4121480441831
8121,4.0,2.0,1.0,1,744.4099096241538
8122,0.0,0.0,5.0,0,161.27422910768576
8123,4.0,2.0,1.0,1,744.4099096241538
8124,3.0,3.0,0.0,0,215.50190477519018
8125,3.0,2.0,1.0,2,1291.41954896356
8126,4.0,2.0,1.0,1,744.4099096241538
8127,1.0,2.0,1.0,2,1297.4240258036184
8128,4.0,2.0,1.0,1,744.4099096241538
8129,6.0,2.0,1.0,1,738.405432784095
8130,1.0,3.0,0.0,1,765.5137825346256
8131,4.0,4.0,3.0,0,170.71098805266138
8132,3.0,0.0,2.0,0,192.68189081225992
8133,1.0,2.0,1.0,2,1297.4240258036184
8134,4.0,0.0,2.0,0,189.67965239223054
8135,1.0,2.0,1.0,2,1297.4240258036184
8136,3.0,1.0,4.0,0,164.36467149798128
8137,4.0,2.0,1.0,2,1288.4173105435307
8138,1.0,2.0,1.0,2,1297.4240258036184
8139,0.0,2.0,1.0,1,756.4188633042713
8140,0.0,3.0,0.0,0,224.50862003527834
8141,1.0,2.0,1.0,1,753.416624884242
8142,4.0,0.0,2.0,0,189.67965239223054
8143,4.0,3.0,0.0,1,756.5070672745375
8144,10.0,1.0,4.0,0,143.3490025577756
8145,4.0,4.0,3.0,0,170.71098805266138
8146,10.0,0.0,5.0,0,131.25184490739193
8147,0.0,3.0,0.0,1,768.516020954655
8148,4.0,2.0,1.0,2,1288.4173105435307
8149,4.0,3.0,0.0,1,756.5070672745375
8150,6.0,2.0,1.0,1,738.405432784095
8151,10.0,3.0,0.0,1,738.4936367543612
8152,0.0,0.0,2.0,0,201.68860607234808
8153,1.0,2.0,1.0,3,1841.4314267229952
8154,4.0,2.0,1.0,1,744.4099096241538
8155,4.0,2.0,1.0,2,1288.4173105435307
8156,3.0,0.0,2.0,0,192.68189081225992
8157,4.0,2.0,1.0,2,1288.4173105435307
8158,3.0,0.0,5.0,1,696.2749147669742
8159,4.0,2.0,1.0,1,744.4099096241538
8160,0.0,2.0,1.0,1,756.4188633042713
8161,4.0,3.0,0.0,1,756.5070672745375
8162,4.0,0.0,2.0,0,189.67965239223054
8163,6.0,2.0,1.0,1,738.405432784095
8164,3.0,1.0,4.0,0,164.36467149798128
8165,4.0,3.0,0.0,1,756.5070672745375
8166,3.0,2.0,1.0,1,747.4121480441831
8167,4.0,2.0,1.0,1,744.4099096241538
8168,1.0,0.0,5.0,0,158.27199068765637
8169,0.0,2.0,1.0,1,756.4188633042713
8170,4.0,0.0,5.0,1,693.2726763469449
8171,3.0,4.0,3.0,0,173.71322647269076
8172,1.0,3.0,0.0,1,765.5137825346256
8173,3.0,1.0,4.0,0,164.36467149798128
8174,4.0,2.0,1.0,2,1288.4173105435307
8175,4.0,3.0,0.0,1,756.5070672745375
8176,1.0,2.0,1.0,2,1297.4240258036184
8177,6.0,2.0,1.0,1,738.405432784095
8178,1.0,2.0,1.0,2,1297.4240258036184
8179,3.0,0.0,2.0,0,192.68189081225992
8180,1.0,2.0,1.0,2,1297.4240258036184
8181,4.0,2.0,1.0,2,1288.4173105435307
8182,1.0,0.0,5.0,2,1246.2867925264097
8183,8.0,2.0,1.0,1,732.4009559440362
8184,4.0,0.0,5.0,1,693.2726763469449
8185,6.0,2.0,1.0,1,738.405432784095
8186,6.0,2.0,1.0,1,738.405432784095
8187,3.0,3.0,0.0,0,215.50190477519018
8188,1.0,2.0,1.0,2,1297.4240258036184
8189,4.0,0.0,5.0,1,693.2726763469449
8190,4.0,2.0,1.0,1,744.4099096241538
8191,3.0,2.0,1.0,1,747.4121480441831
8192,3.0,2.0,1.0,1,747.4121480441831
8193,1.0,2.0,1.0,2,1297.4240258036184
8194,3.0,2.0,1.0,1,747.4121480441831
8195,1.0,3.0,0.0,2,1309.5211834540023
8196,3.0,3.0,0.0,0,215.50190477519018
8197,2.0,0.0,5.0,0,155.26975226762698
8198,4.0,4.0,3.0,0,170.71098805266138
8199,8.0,0.0,2.0,0,177.67069871211302
8200,4.0,3.0,0.0,1,756.5070672745375
8201,3.0,2.0,1.0,1,747.4121480441831
8202,1.0,3.0,0.0,2,1309.5211834540023
8203,3.0,0.0,2.0,0,192.68189081225992
8204,1.0,3.0,0.0,3,1853.5285843733786
8205,3.0,0.0,2.0,0,192.68189081225992
8206,6.0,2.0,1.0,1,738.405432784095
8207,1.0,3.0,0.0,2,1309.5211834540023
8208,6.0,2.0,1.0,1,738.405432784095
8209,6.0,2.0,1.0,1,738.405432784095
8210,4.0,3.0,0.0,1,756.5070672745375
8211,4.0,3.0,0.0,1,756.5070672745375
8212,4.0,2.0,1.0,2,1288.4173105435307
8213,4.0,2.0,1.0,1,744.4099096241538
8214,6.0,2.0,1.0,1,738.405432784095
8215,3.0,2.0,1.0,1,747.4121480441831
8216,1.0,2.0,1.0,2,1297.4240258036184
8217,4.0,0.0,2.0,0,189.67965239223054
8218,3.0,2.0,1.0,1,747.4121480441831
8219,8.0,3.0,0.0,0,200.49071267504328
8220,4.0,2.0,1.0,1,744.4099096241538
8221,4.0,3.0,0.0,1,756.5070672745375
8222,4.0,2.0,1.0,1,744.4099096241538
8223,8.0,4.0,3.0,0,158.70203437254386
8224,6.0,2.0,1.0,1,738.405432784095
8225,1.0,0.0,5.0,0,158.27199068765637
8226,6.0,2.0,1.0,1,738.405432784095
8227,3.0,2.0,1.0,1,747.4121480441831
8228,4.0,2.0,1.0,1,744.4099096241538
8229,8.0,3.0,0.0,1,744.4981135944199
8230,8.0,2.0,1.0,1,732.4009559440362
8231,6.0,2.0,1.0,1,738.405432784095
8232,1.0,4.0,3.0,2,1267.7325051515027
8233,6.0,2.0,1.0,1,738.405432784095
8234,3.0,3.0,0.0,0,215.50190477519018
8235,1.0,3.0,0.0,2,1309.5211834540023
8236,1.0,3.0,0.0,1,765.5137825346256
8237,1.0,3.0,0.0,2,1309.5211834540023
8238,4.0,2.0,1.0,2,1288.4173105435307
8239,3.0,1.0,4.0,0,164.36467149798128
8240,4.0,0.0,2.0,0,189.67965239223054
8241,3.0,2.0,1.0,1,747.4121480441831
8242,4.0,2.0,1.0,1,744.4099096241538
8243,4.0,0.0,5.0,1,693.2726763469449
8244,4.0,2.0,1.0,1,744.4099096241538
8245,4.0,3.0,0.0,1,756.5070672745375
8246,1.0,2.0,1.0,1,753.416624884242
8247,1.0,2.0,1.0,2,1297.4240258036184
8248,1.0,0.0,5.0,2,1246.2867925264097
8249,8.0,2.0,1.0,1,732.4009559440362
8250,1.0,2.0,1.0,1,753.416624884242
8251,4.0,2.0,1.0,2,1288.4173105435307
8252,8.0,0.0,2.0,0,177.67069871211302
8253,4.0,3.0,0.0,1,756.5070672745375
8254,4.0,3.0,0.0,1,756.5070672745375
8255,1.0,0.0,2.0,0,198.6863676523187
8256,1.0,3.0,0.0,2,1309.5211834540023
8257,4.0,3.0,0.0,1,756.5070672745375
8258,4.0,0.0,2.0,0,189.67965239223054
8259,2.0,0.0,2.0,0,195.6841292322893
8260,4.0,2.0,1.0,2,1288.4173105435307
8261,0.0,3.0,0.0,0,224.50862003527834
8262,8.0,3.0,0.0,0,200.49071267504328
8263,4.0,0.0,2.0,0,189.67965239223054
8264,0.0,3.0,0.0,0,224.50862003527834
8265,1.0,3.0,0.0,2,1309.5211834540023
8266,8.0,3.0,0.0,0,200.49071267504328
8267,4.0,2.0,1.0,2,1288.4173105435307
8268,6.0,2.0,1.0,1,738.405432784095
8269,3.0,3.0,0.0,0,215.50190477519018
8270,8.0,1.0,4.0,0,149.35347939783438
8271,1.0,2.0,1.0,2,1297.4240258036184
8272,1.0,0.0,5.0,1,702.2793916070331
8273,10.0,3.0,0.0,1,738.4936367543612
8274,4.0,2.0,1.0,2,1288.4173105435307
8275,1.0,2.0,1.0,2,1297.4240258036184
8276,6.0,2.0,1.0,1,738.405432784095
8277,6.0,2.0,1.0,1,738.405432784095
8278,4.0,0.0,5.0,1,693.2726763469449
8279,3.0,3.0,0.0,1,759.5093056945668
8280,4.0,2.0,1.0,1,744.4099096241538
8281,1.0,2.0,1.0,1,753.416624884242
8282,8.0,4.0,3.0,0,158.70203437254386
8283,3.0,4.0,3.0,0,173.71322647269076
8284,3.0,1.0,4.0,0,164.36467149798128
8285,4.0,2.0,1.0,1,744.4099096241538
8286,8.0,3.0,0.0,0,200.49071267504328
8287,4.0,2.0,1.0,2,1288.4173105435307
8288,3.0,1.0,4.0,0,164.36467149798128
8289,6.0,2.0,1.0,1,738.405432784095
8290,4.0,3.0,0.0,1,756.5070672745375
8291,4.0,3.0,0.0,1,756.5070672745375
8292,1.0,2.0,1.0,1,753.416624884242
8293,2.0,0.0,2.0,0,195.6841292322893
8294,3.0,2.0,1.0,1,747.4121480441831
8295,3.0,3.0,0.0,1,759.5093056945668
8296,4.0,3.0,0.0,1,756.5070672745375
8297,10.0,0.0,2.0,0,171.66622187205425
8298,1.0,3.0,0.0,2,1309.5211834540023
8299,4.0,3.0,0.0,1,756.5070672745375
8300,4.0,2.0,1.0,0,200.40250870477712
8301,8.0,3.0,0.0,0,200.49071267504328
8302,1.0,4.0,3.0,0,179.71770331274953
8303,4.0,0.0,5.0,1,693.2726763469449
8304,6.0,2.0,1.0,1,738.405432784095
8305,1.0,3.0,0.0,2,1309.5211834540023
8306,8.0,3.0,0.0,0,200.49071267504328
8307,1.0,3.0,0.0,2,1309.5211834540023
8308,3.0,0.0,5.0,0,152.2675138475976
8309,3.0,2.0,1.0,1,747.4121480441831
8310,4.0,2.0,1.0,2,1288.4173105435307
8311,4.0,0.0,2.0,0,189.67965239223054
8312,1.0,3.0,0.0,0,221.50638161524896
8313,3.0,4.0,3.0,0,173.71322647269076
8314,1.0,4.0,3.0,0,179.71770331274953
8315,1.0,3.0,0.0,2,1309.5211834540023
8316,6.0,2.0,1.0,1,738.405432784095
8317,4.0,2.0,1.0,1,744.4099096241538
8318,8.0,2.0,1.0,1,732.4009559440362
8319,1.0,2.0,1.0,2,1297.4240258036184
8320,6.0,2.0,1.0,1,738.405432784095
8321,3.0,1.0,4.0,0,164.36467149798128
8322,6.0,2.0,1.0,1,738.405432784095
8323,3.0,0.0,2.0,0,192.68189081225992
8324,4.0,2.0,1.0,2,1288.4173105435307
8325,4.0,2.0,1.0,1,744.4099096241538
8326,8.0,0.0,2.0,0,177.67069871211302
8327,6.0,2.0,1.0,1,738.405432784095
8328,3.0,3.0,0.0,0,215.50190477519018
8329,3.0,3.0,0.0,0,215.50190477519018
8330,3.0,3.0,0.0,0,215.50190477519018
8331,3.0,1.0,4.0,0,164.36467149798128
8332,3.0,3.0,0.0,0,215.50190477519018
8333,4.0,4.0,3.0,0,170.71098805266138
8334,8.0,3.0,0.0,0,200.49071267504328
8335,4.0,2.0,1.0,1,744.4099096241538
8336,4.0,4.0,3.0,0,170.71098805266138
8337,2.0,2.0,1.0,1,750.4143864642126
8338,4.0,0.0,5.0,1,693.2726763469449
8339,4.0,0.0,5.0,1,693.2726763469449
8340,4.0,3.0,0.0,1,756.5070672745375
8341,1.0,2.0,1.0,0,209.40922396486528
8342,3.0,2.0,1.0,1,747.4121480441831
8343,0.0,3.0,0.0,0,224.50862003527834
8344,4.0,2.0,1.0,2,1288.4173105435307
8345,4.0,2.0,1.0,2,1288.4173105435307
8346,4.0,0.0,2.0,0,189.67965239223054
8347,2.0,3.0,0.0,1,762.5115441145963
8348,1.0,4.0,3.0,2,1267.7325051515027
8349,4.0,2.0,1.0,0,200.40250870477712
8350,4.0,3.0,0.0,1,756.5070672745375
8351,6.0,2.0,1.0,1,738.405432784095
8352,1.0,2.0,1.0,1,753.416624884242
8353,1.0,2.0,1.0,2,1297.4240258036184
8354,10.0,3.0,0.0,1,738.4936367543612
8355,1.0,4.0,3.0,0,179.71770331274953
8356,1.0,2.0,1.0,2,1297.4240258036184
8357,3.0,2.0,1.0,1,747.4121480441831
8358,3.0,0.0,2.0,0,192.68189081225992
8359,6.0,2.0,1.0,1,738.405432784095
8360,4.0,2.0,1.0,2,1288.4173105435307
8361,10.0,2.0,1.0,0,182.38907818460083
8362,3.0,2.0,1.0,1,747.4121480441831
8363,3.0,2.0,1.0,1,747.4121480441831
8364,1.0,2.0,1.0,0,209.40922396486528
8365,4.0,2.0,1.0,1,744.4099096241538
8366,1.0,3.0,0.0,2,1309.5211834540023
8367,1.0,2.0,1.0,2,1297.4240258036184
8368,4.0,2.0,1.0,2,1288.4173105435307
8369,3.0,1.0,4.0,0,164.36467149798128
8370,3.0,0.0,2.0,0,192.68189081225992
8371,3.0,0.0,5.0,0,152.2675138475976
8372,4.0,0.0,5.0,1,693.2726763469449
8373,6.0,2.0,1.0,1,738.405432784095
8374,4.0,0.0,5.0,1,693.2726763469449
8375,4.0,2.0,1.0,2,1288.4173105435307
8376,4.0,3.0,0.0,1,756.5070672745375
8377,3.0,3.0,0.0,0,215.50190477519018
8378,4.0,3.0,0.0,1,756.5070672745375
8379,4.0,2.0,1.0,1,744.4099096241538
8380,3.0,3.0,0.0,0,215.50190477519018
8381,1.0,2.0,1.0,2,1297.4240258036184
8382,3.0,2.0,1.0,1,747.4121480441831
8383,1.0,2.0,1.0,2,1297.4240258036184
8384,4.0,4.0,3.0,0,170.71098805266138
8385,1.0,3.0,0.0,1,765.5137825346256
8386,4.0,2.0,1.0,1,744.4099096241538
8387,3.0,0.0,2.0,0,192.68189081225992
8388,4.0,3.0,0.0,1,756.5070672745375
8389,0.0,2.0,1.0,1,756.4188633042713
8390,4.0,3.0,0.0,1,756.5070672745375
8391,1.0,3.0,0.0,1,765.5137825346256
8392,1.0,2.0,1.0,1,753.416624884242
8393,3.0,0.0,5.0,0,152.2675138475976
8394,3.0,3.0,0.0,0,215.50190477519018
8395,8.0,3.0,0.0,0,200.49071267504328
8396,4.0,2.0,1.0,2,1288.4173105435307
8397,1.0,2.0,1.0,1,753.416624884242
8398,4.0,4.0,3.0,0,170.71098805266138
8399,4.0,2.0,1.0,1,744.4099096241538
8400,8.0,2.0,1.0,1,732.4009559440362
8401,3.0,0.0,5.0,0,152.2675138475976
8402,3.0,3.0,0.0,0,215.50190477519018
8403,6.0,2.0,1.0,1,738.405432784095
8404,1.0,2.0,1.0,1,753.416624884242
8405,6.0,2.0,1.0,1,738.405432784095
8406,3.0,4.0,3.0,0,173.71322647269076
8407,1.0,0.0,5.0,0,158.27199068765637
8408,4.0,3.0,0.0,1,756.5070672745375
8409,4.0,2.0,1.0,2,1288.4173105435307
8410,8.0,0.0,2.0,0,177.67069871211302
8411,1.0,0.0,2.0,0,198.6863676523187
8412,4.0,2.0,1.0,2,1288.4173105435307
8413,3.0,4.0,3.0,0,173.71322647269076
8414,4.0,4.0,3.0,0,170.71098805266138
8415,0.0,0.0,2.0,0,201.68860607234808
8416,1.0,2.0,1.0,2,1297.4240258036184
8417,4.0,0.0,2.0,0,189.67965239223054
8418,10.0,0.0,2.0,0,171.66622187205425
8419,1.0,2.0,1.0,1,753.416624884242
8420,2.0,3.0,0.0,1,762.5115441145963
8421,8.0,0.0,2.0,0,177.67069871211302
8422,4.0,4.0,3.0,0,170.71098805266138
8423,4.0,2.0,1.0,1,744.4099096241538
8424,4.0,2.0,1.0,0,200.40250870477712
8425,6.0,2.0,1.0,1,738.405432784095
8426,8.0,2.0,1.0,1,732.4009559440362
8427,4.0,2.0,1.0,1,744.4099096241538
8428,8.0,4.0,3.0,0,158.70203437254386
8429,4.0,2.0,1.0,1,744.4099096241538
8430,4.0,4.0,3.0,0,170.71098805266138
8431,4.0,3.0,0.0,1,756.5070672745375
8432,0.0,3.0,0.0,0,224.50862003527834
8433,1.0,0.0,5.0,1,702.2793916070331
8434,4.0,2.0,1.0,2,1288.4173105435307
8435,6.0,2.0,1.0,1,738.405432784095
8436,1.0,2.0,1.0,2,1297.4240258036184
8437,1.0,2.0,1.0,0,209.40922396486528
8438,4.0,3.0,0.0,1,756.5070672745375
8439,1.0,2.0,1.0,0,209.40922396486528
8440,4.0,2.0,1.0,0,200.40250870477712
8441,10.0,1.0,4.0,0,143.3490025577756
8442,4.0,0.0,5.0,1,693.2726763469449
8443,1.0,1.0,4.0,0,170.36914833804005
8444,4.0,2.0,1.0,1,744.4099096241538
8445,4.0,3.0,0.0,1,756.5070672745375
8446,4.0,2.0,1.0,2,1288.4173105435307
8447,6.0,2.0,1.0,1,738.405432784095
8448,8.0,3.0,0.0,0,200.49071267504328
8449,8.0,2.0,1.0,1,732.4009559440362
8450,3.0,3.0,0.0,0,215.50190477519018
8451,4.0,0.0,5.0,1,693.2726763469449
8452,4.0,2.0,1.0,2,1288.4173105435307
8453,3.0,2.0,1.0,1,747.4121480441831
8454,4.0,2.0,1.0,0,200.40250870477712
8455,3.0,2.0,1.0,1,747.4121480441831
8456,0.0,3.0,0.0,1,768.516020954655
8457,8.0,0.0,5.0,1,681.2637226668273
8458,4.0,2.0,1.0,1,744.4099096241538
8459,4.0,4.0,3.0,0,170.71098805266138
8460,8.0,0.0,2.0,0,177.67069871211302
8461,4.0,0.0,5.0,1,693.2726763469449
8462,4.0,2.0,1.0,2,1288.4173105435307
8463,3.0,2.0,1.0,1,747.4121480441831
8464,1.0,3.0,0.0,0,221.50638161524896
8465,8.0,0.0,5.0,0,137.2563217474507
8466,4.0,2.0,1.0,0,200.40250870477712
8467,8.0,0.0,2.0,0,177.67069871211302
8468,4.0,2.0,1.0,1,744.4099096241538
8469,0.0,0.0,2.0,0,201.68860607234808
8470,4.0,0.0,5.0,1,693.2726763469449
8471,4.0,0.0,2.0,0,189.67965239223054
8472,4.0,0.0,5.0,1,693.2726763469449
8473,1.0,4.0,3.0,0,179.71770331274953
8474,6.0,2.0,1.0,1,738.405432784095
8475,10.0,3.0,0.0,1,738.4936367543612
8476,4.0,2.0,1.0,1,744.4099096241538
8477,4.0,0.0,5.0,1,693.2726763469449
8478,1.0,4.0,3.0,2,1267.7325051515027
8479,3.0,4.0,3.0,0,173.71322647269076
8480,0.0,3.0,0.0,0,224.50862003527834
8481,3.0,2.0,1.0,0,203.4047471248065
8482,4.0,4.0,3.0,0,170.71098805266138
8483,1.0,2.0,1.0,1,753.416624884242
8484,6.0,2.0,1.0,1,738.405432784095
8485,1.0,0.0,2.0,0,198.6863676523187
8486,4.0,2.0,1.0,1,744.4099096241538
8487,1.0,0.0,5.0,0,158.27199068765637
8488,3.0,2.0,1.0,1,747.4121480441831
8489,0.0,3.0,0.0,1,768.516020954655
8490,1.0,0.0,2.0,0,198.6863676523187
8491,4.0,2.0,1.0,2,1288.4173105435307
8492,3.0,0.0,5.0,0,152.2675138475976
8493,4.0,2.0,1.0,1,744.4099096241538
8494,4.0,3.0,0.0,1,756.5070672745375
8495,3.0,0.0,2.0,0,192.68189081225992
8496,4.0,2.0,1.0,2,1288.4173105435307
8497,4.0,2.0,1.0,1,744.4099096241538
8498,6.0,2.0,1.0,1,738.405432784095
8499,1.0,2.0,1.0,1,753.416624884242
8500,4.0,0.0,5.0,1,693.2726763469449
8501,1.0,3.0,0.0,1,765.5137825346256
8502,1.0,0.0,5.0,2,1246.2867925264097
8503,1.0,2.0,1.0,2,1297.4240258036184
8504,6.0,2.0,1.0,1,738.405432784095
8505,4.0,3.0,0.0,1,756.5070672745375
8506,4.0,3.0,0.0,1,756.5070672745375
8507,3.0,2.0,1.0,1,747.4121480441831
8508,3.0,2.0,1.0,1,747.4121480441831
8509,3.0,2.0,1.0,0,203.4047471248065
8510,4.0,2.0,1.0,1,744.4099096241538
8511,1.0,2.0,1.0,1,753.416624884242
8512,3.0,0.0,2.0,0,192.68189081225992
8513,8.0,0.0,2.0,0,177.67069871211302
8514,3.0,1.0,4.0,0,164.36467149798128
8515,8.0,4.0,3.0,0,158.70203437254386
8516,0.0,0.0,2.0,0,201.68860607234808
8517,8.0,4.0,3.0,0,158.70203437254386
8518,4.0,2.0,1.0,1,744.4099096241538
8519,4.0,2.0,1.0,1,744.4099096241538
8520,4.0,3.0,0.0,1,756.5070672745375
8521,3.0,2.0,1.0,1,747.4121480441831
8522,3.0,0.0,2.0,0,192.68189081225992
8523,1.0,2.0,1.0,1,753.416624884242
8524,4.0,3.0,0.0,1,756.5070672745375
8525,3.0,4.0,3.0,0,173.71322647269076
8526,4.0,3.0,0.0,1,756.5070672745375
8527,1.0,0.0,2.0,0,198.6863676523187
8528,8.0,1.0,4.0,0,149.35347939783438
8529,1.0,2.0,1.0,2,1297.4240258036184
8530,4.0,2.0,1.0,2,1288.4173105435307
8531,3.0,2.0,1.0,1,747.4121480441831
8532,4.0,2.0,1.0,2,1288.4173105435307
8533,3.0,2.0,1.0,1,747.4121480441831
8534,3.0,4.0,3.0,0,173.71322647269076
8535,3.0,2.0,1.0,1,747.4121480441831
8536,4.0,0.0,5.0,1,693.2726763469449
8537,4.0,2.0,1.0,2,1288.4173105435307
8538,4.0,2.0,1.0,2,1288.4173105435307
8539,6.0,2.0,1.0,1,738.405432784095
8540,3.0,3.0,0.0,0,215.50190477519018
8541,4.0,3.0,0.0,1,756.5070672745375
8542,4.0,3.0,0.0,1,756.5070672745375
8543,4.0,3.0,0.0,1,756.5070672745375
8544,8.0,3.0,0.0,0,200.49071267504328
8545,4.0,3.0,0.0,1,756.5070672745375
8546,4.0,2.0,1.0,2,1288.4173105435307
8547,4.0,3.0,0.0,1,756.5070672745375
8548,6.0,2.0,1.0,1,738.405432784095
8549,6.0,2.0,1.0,1,738.405432784095
8550,1.0,2.0,1.0,1,753.416624884242
8551,6.0,2.0,1.0,1,738.405432784095
8552,8.0,2.0,1.0,1,732.4009559440362
8553,3.0,3.0,0.0,0,215.50190477519018
8554,4.0,0.0,5.0,1,693.2726763469449
8555,3.0,0.0,5.0,0,152.2675138475976
8556,6.0,2.0,1.0,1,738.405432784095
